OBJECTID,ZIP_CODE,AdminOffice
1,90001,AA
2,90002,AA
3,90003,AA
4,90040,AA
5,90044,AA
6,90045,AA
7,90047,AA
8,90059,AA
9,90061,AA
10,90094,AA
11,90201,AA
12,90220,AA
13,90221,AA
14,90222,AA
15,90240,AA
16,90241,AA
17,90242,AA
18,90245,AA
19,90247,AA
20,90248,AA
21,90249,AA
22,90250,AA
23,90254,AA
24,90255,AA
25,90260,AA
26,90262,AA
27,90266,AA
28,90270,AA
29,90274,AA
30,90275,AA
31,90277,AA
32,90278,AA
33,90280,AA
34,90293,AA
35,90301,AA
36,90302,AA
37,90303,AA
38,90304,AA
39,90305,AA
40,90501,AA
41,90502,AA
42,90503,AA
43,90504,AA
44,90505,AA
45,90506,AA
46,90620,AA
47,90621,AA
48,90623,AA
49,90630,AA
50,90638,AA
51,90639,AA
52,90650,AA
53,90670,AA
54,90701,AA
55,90703,AA
56,90704,AA
57,90706,AA
58,90710,AA
59,90712,AA
60,90713,AA
61,90715,AA
62,90716,AA
63,90717,AA
64,90720,AA
65,90723,AA
66,90731,AA
67,90732,AA
68,90740,AA
69,90744,AA
70,90745,AA
71,90746,AA
72,90747,AA
73,90755,AA
74,90802,AA
75,90803,AA
76,90804,AA
77,90805,AA
78,90806,AA
79,90807,AA
80,90808,AA
81,90810,AA
82,90813,AA
83,90814,AA
84,90815,AA
85,90822,AA
86,90840,AA
87,92831,AA
88,92832,AA
89,92833,AA
90,92835,AA
91,90004,AC
92,90005,AC
93,90006,AC
94,90007,AC
95,90008,AC
96,90011,AC
97,90012,AC
98,90013,AC
99,90014,AC
100,90015,AC
101,90016,AC
102,90017,AC
103,90018,AC
104,90019,AC
105,90020,AC
106,90021,AC
107,90023,AC
108,90024,AC
109,90025,AC
110,90026,AC
111,90027,AC
112,90028,AC
113,90029,AC
114,90031,AC
115,90032,AC
116,90033,AC
117,90034,AC
118,90035,AC
119,90036,AC
120,90037,AC
121,90038,AC
122,90039,AC
123,90041,AC
124,90042,AC
125,90043,AC
126,90046,AC
127,90048,AC
128,90049,AC
129,90056,AC
130,90057,AC
131,90058,AC
132,90062,AC
133,90063,AC
134,90064,AC
135,90065,AC
136,90066,AC
137,90067,AC
138,90068,AC
139,90069,AC
140,90071,AC
141,90073,AC
142,90077,AC
143,90089,AC
144,90095,AC
145,90210,AC
146,90211,AC
147,90212,AC
148,90230,AC
149,90232,AC
150,90272,AC
151,90291,AC
152,90292,AC
153,90401,AC
154,90402,AC
155,90403,AC
156,90404,AC
157,90405,AC
158,91001,AC
159,91011,AC
160,91020,AC
161,91030,AC
162,91040,AC
163,91042,AC
164,91101,AC
165,91103,AC
166,91104,AC
167,91105,AC
168,91106,AC
169,91107,AC
170,91108,AC
171,91123,AC
172,91201,AC
173,91202,AC
174,91203,AC
175,91204,AC
176,91205,AC
177,91206,AC
178,91207,AC
179,91208,AC
180,91210,AC
181,91214,AC
182,91303,AC
183,91304,AC
184,91306,AC
185,91307,AC
186,91311,AC
187,91316,AC
188,91321,AC
189,91324,AC
190,91325,AC
191,91326,AC
192,91330,AC
193,91331,AC
194,91335,AC
195,91340,AC
196,91342,AC
197,91343,AC
198,91344,AC
199,91345,AC
200,91350,AC
201,91351,AC
202,91352,AC
203,91354,AC
204,91355,AC
205,91356,AC
206,91364,AC
207,91367,AC
208,91371,AC
209,91381,AC
210,91384,AC
211,91387,AC
212,91390,AC
213,91401,AC
214,91402,AC
215,91403,AC
216,91405,AC
217,91406,AC
218,91411,AC
219,91423,AC
220,91436,AC
221,91501,AC
222,91502,AC
223,91504,AC
224,91505,AC
225,91506,AC
226,91521,AC
227,91522,AC
228,91523,AC
229,91601,AC
230,91602,AC
231,91604,AC
232,91605,AC
233,91606,AC
234,91607,AC
235,91608,AC
236,93510,AC
237,93532,AC
238,93534,AC
239,93535,AC
240,93536,AC
241,93543,AC
242,93544,AC
243,93550,AC
244,93551,AC
245,93552,AC
246,93553,AC
247,93591,AC
248,90022,AP
249,90601,AP
250,90602,AP
251,90603,AP
252,90604,AP
253,90605,AP
254,90606,AP
255,90631,AP
256,90640,AP
257,90660,AP
258,91006,AP
259,91007,AP
260,91008,AP
261,91010,AP
262,91016,AP
263,91024,AP
264,91701,AP
265,91702,AP
266,91706,AP
267,91708,AP
268,91709,AP
269,91710,AP
270,91711,AP
271,91722,AP
272,91723,AP
273,91724,AP
274,91730,AP
275,91731,AP
276,91732,AP
277,91733,AP
278,91737,AP
279,91740,AP
280,91741,AP
281,91744,AP
282,91745,AP
283,91746,AP
284,91748,AP
285,91750,AP
286,91754,AP
287,91755,AP
288,91761,AP
289,91762,AP
290,91763,AP
291,91764,AP
292,91765,AP
293,91766,AP
294,91767,AP
295,91768,AP
296,91770,AP
297,91773,AP
298,91775,AP
299,91776,AP
300,91780,AP
301,91784,AP
302,91786,AP
303,91789,AP
304,91790,AP
305,91791,AP
306,91792,AP
307,91801,AP
308,91803,AP
309,92821,AP
310,92823,AP
311,93563,AP
312,00018,AR
313,00032,AR
314,00057,AR
315,90263,AR
316,90265,AR
317,90290,AR
318,91301,AR
319,91302,AR
320,91320,AR
321,91360,AR
322,91361,AR
323,91362,AR
324,91377,AR
325,93001,AR
326,93003,AR
327,93004,AR
328,93010,AR
329,93012,AR
330,93013,AR
331,93015,AR
332,93021,AR
333,93022,AR
334,93023,AR
335,93030,AR
336,93033,AR
337,93035,AR
338,93036,AR
339,93040,AR
340,93041,AR
341,93042,AR
342,93043,AR
343,93060,AR
344,93063,AR
345,93065,AR
346,93066,AR
347,93067,AR
348,93101,AR
349,93103,AR
350,93105,AR
351,93106,AR
352,93108,AR
353,93109,AR
354,93110,AR
355,93111,AR
356,93117,AR
357,93401,AR
358,93402,AR
359,93405,AR
360,93407,AR
361,93408,AR
362,93410,AR
363,93420,AR
364,93421,AR
365,93424,AR
366,93427,AR
367,93429,AR
368,93433,AR
369,93434,AR
370,93436,AR
371,93437,AR
372,93440,AR
373,93441,AR
374,93444,AR
375,93445,AR
376,93449,AR
377,93454,AR
378,93455,AR
379,93458,AR
380,93460,AR
381,93463,AR
382,94002,BH
383,94005,BH
384,94010,BH
385,94014,BH
386,94015,BH
387,94018,BH
388,94019,BH
389,94020,BH
390,94021,BH
391,94030,BH
392,94037,BH
393,94038,BH
394,94044,BH
395,94060,BH
396,94061,BH
397,94062,BH
398,94063,BH
399,94065,BH
400,94066,BH
401,94070,BH
402,94074,BH
403,94080,BH
404,94102,BH
405,94103,BH
406,94104,BH
407,94105,BH
408,94107,BH
409,94108,BH
410,94109,BH
411,94110,BH
412,94111,BH
413,94112,BH
414,94114,BH
415,94115,BH
416,94116,BH
417,94117,BH
418,94118,BH
419,94121,BH
420,94122,BH
421,94123,BH
422,94124,BH
423,94127,BH
424,94128,BH
425,94129,BH
426,94130,BH
427,94131,BH
428,94132,BH
429,94133,BH
430,94134,BH
431,94143,BH
432,94158,BH
